,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
0,"('1', '2')",7850256.354236808,0,7850256.354236808,20.64
1,"('1', '3')",7933199.876098372,0,7933199.876098372,40.67
2,"('2', '1')",7849747.119148147,0,7849747.119148147,60.99
3,"('2', '6')",7796951.569157472,0,7796951.569157472,81.18
4,"('3', '1')",7929399.955171884,0,7929399.955171884,101.39
5,"('3', '4')",8229399.888730625,0,8229399.888730625,122.4
6,"('3', '12')",8069389.469615877,0,8069389.469615877,143.28
7,"('4', '3')",8227509.7289685365,0,8227509.7289685365,164.04
8,"('4', '5')",8382522.023009596,0,8382522.023009596,184.57
9,"('4', '11')",7840692.921910191,0,7840692.921910191,204.86
10,"('5', '4')",8388179.778117077,0,8388179.778117077,225.45
11,"('5', '6')",7873844.176321183,0,7873844.176321183,246.02
12,"('5', '9')",8344346.691639129,0,8344346.691639129,266.76
13,"('6', '2')",7795993.78499442,0,7795993.78499442,287.1
14,"('6', '5')",7884131.981992882,0,7884131.981992882,307.38
15,"('6', '8')",8057795.328898419,0,8057795.328898419,327.99
16,"('7', '8')",8252021.076073298,0,8252021.076073298,348.71
17,"('7', '18')",8189872.154671255,0,8189872.154671255,369.81
18,"('8', '6')",8054569.718600476,0,8054569.718600476,390.42
19,"('8', '7')",8243764.90468883,0,8243764.90468883,411.32
20,"('8', '9')",8047545.109374435,0,8047545.109374435,431.99
21,"('8', '16')",7941044.917696833,0,7941044.917696833,452.58
22,"('9', '5')",8350575.527943127,0,8350575.527943127,473.66
23,"('9', '8')",8046374.823275479,0,8046374.823275479,494.54
24,"('9', '10')",8455042.152006708,0,8455042.152006708,515.47
25,"('10', '9')",8462103.54593787,0,8462103.54593787,536.37
26,"('10', '11')",8250999.228560442,0,8250999.228560442,557.04
27,"('10', '15')",8480994.905124422,0,8480994.905124422,579.12
28,"('10', '16')",8015998.799665745,0,8015998.799665745,599.73
29,"('10', '17')",8034479.180345535,0,8034479.180345535,620.32
30,"('11', '4')",7840972.378535005,0,7840972.378535005,640.83
31,"('11', '10')",8253598.8485451145,0,8253598.8485451145,661.37
32,"('11', '12')",7883022.716869413,0,7883022.716869413,681.92
33,"('11', '14')",7947291.998209036,0,7947291.998209036,702.44
34,"('12', '3')",8073365.962469867,0,8073365.962469867,723.67
35,"('12', '11')",7883033.407156781,0,7883033.407156781,744.46
36,"('12', '13')",8082101.506786499,0,8082101.506786499,765.33
37,"('13', '12')",8086916.457615729,0,8086916.457615729,786.22
38,"('13', '24')",7937006.437759978,0,7937006.437759978,806.96
39,"('14', '11')",7950770.223964279,0,7950770.223964279,827.47
40,"('14', '15')",7962617.100817069,0,7962617.100817069,848.29
41,"('14', '23')",7869334.725368802,0,7869334.725368802,868.95
42,"('15', '10')",8485817.227290789,0,8485817.227290789,890.1
43,"('15', '14')",7966605.51757134,0,7966605.51757134,910.9
44,"('15', '19')",8362119.509003274,0,8362119.509003274,931.94
45,"('15', '22')",8189180.935468114,0,8189180.935468114,952.32
46,"('16', '8')",7940784.389256159,0,7940784.389256159,972.7
47,"('16', '10')",8012006.266521341,0,8012006.266521341,993.04
48,"('16', '17')",7933344.568032013,0,7933344.568032013,1013.75
49,"('16', '18')",8307777.817966451,0,8307777.817966451,1034.44
50,"('17', '10')",8031147.973855291,0,8031147.973855291,1054.91
51,"('17', '16')",7931024.045108854,0,7931024.045108854,1075.42
52,"('17', '19')",7836470.511964094,0,7836470.511964094,1095.85
53,"('18', '7')",8201750.255311294,0,8201750.255311294,1116.52
54,"('18', '16')",8304226.203569125,0,8304226.203569125,1137.29
55,"('18', '20')",8349028.990850533,0,8349028.990850533,1158.06
56,"('19', '15')",8360552.497282753,0,8360552.497282753,1178.81
57,"('19', '17')",7830516.524897807,0,7830516.524897807,1199.51
58,"('19', '20')",7970128.630828159,0,7970128.630828159,1219.88
59,"('20', '18')",8360840.418443809,0,8360840.418443809,1240.42
60,"('20', '19')",7974162.432216232,0,7974162.432216232,1260.77
61,"('20', '21')",7877504.631755251,0,7877504.631755251,1280.98
62,"('20', '22')",7919195.184259096,0,7919195.184259096,1301.51
63,"('21', '20')",7872192.7537224665,0,7872192.7537224665,1322.07
64,"('21', '22')",7857815.142788972,0,7857815.142788972,1342.73
65,"('21', '24')",8002533.693315996,0,8002533.693315996,1363.28
66,"('22', '15')",8185549.083303345,0,8185549.083303345,1383.61
67,"('22', '20')",7915745.454161926,0,7915745.454161926,1404.06
68,"('22', '21')",7858827.793554146,0,7858827.793554146,1424.41
69,"('22', '23')",7996855.372862346,0,7996855.372862346,1444.96
70,"('23', '14')",7868239.127921163,0,7868239.127921163,1465.6
71,"('23', '22')",7998751.848889674,0,7998751.848889674,1486.1
72,"('23', '24')",7791403.218079523,0,7791403.218079523,1506.44
73,"('24', '13')",7939420.016911455,0,7939420.016911455,1526.61
74,"('24', '21')",7995461.160866338,0,7995461.160866338,1546.92
75,"('24', '23')",7788761.738429412,0,7788761.738429412,1567.21
